baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENTREZID
551.862292838584	0.958340384864091	0.5089658029004	1.88291704354768	0.0597116110997763	0.525818664908478	7105
9.03139756212	-0.074661425107631	1.23044151557612	-0.060678564696082	0.951615203113121	0.99383882657771	64102
1788.831583152	0.257429721769559	0.295583924582051	0.870919222462989	0.383798260255566	0.884591462405969	8813
526.287677607901	0.424047279252189	0.344064719798281	1.232463704796	0.217775916657985	0.79318658905929	57147
1091.53747227813	0.263377384080287	0.30486881844335	0.863903974913155	0.387640643076527	0.886040004688457	55732
99.1822797552173	0.305753948642689	0.461000841665106	0.663239458605598	0.507177203704144	0.927512010320581	2268
6567.22720717777	0.857550290484174	0.449091103422578	1.90952411203134	0.056194514284455	0.512229350989062	3075
534.384600251276	-0.707511208304319	0.427600732041254	-1.65460710258106	0.0980042218399386	0.630027648249487	2519
2404.90197622932	0.474517203395699	0.621477524289754	0.763530755095276	0.445146927798811	0.906324750945093	2729
355.320454011732	0.169720549141456	0.431696195837449	0.393148123096649	0.694210082719787	0.962890983149167	4800
147.682591131911	0.346850717460032	0.438678445003827	0.79067189512128	0.429135480648873	0.901031792109733	90529
548.953692993224	0.237310196047192	0.416872543064767	0.569263195658157	0.56917753953419	0.942816002173465	57185
930.648476662028	-0.0221646688269959	0.392649818165938	-0.0564489471318917	0.954984164915432	0.994258304142139	81887
73.2812723979822	-1.53530036779457	0.977177649546232	-1.57115788363304	0.116145980132683	0.661655765861405	22875
1249.25805522579	0.884169857844372	0.531936203467245	1.66217274192133	0.0964781437399494	0.626036090981112	6405
92.6594707101856	0.754959998615061	1.82111662266432	0.41455884220668	0.678464883083027	0.961538779052586	1080
1883.45969741874	-0.166740224698853	0.251903069149182	-0.661922164196045	0.508021106370173	0.927512010320581	54467
115.859263399976	-0.310316922070663	0.529741198206075	-0.585789670732663	0.558016865891959	0.9380396982704	1595
575.994583779963	0.279189305549735	0.343390933244576	0.813036334162281	0.416197226634556	0.898248610472365	889
328.275327168988	-0.022204582268467	0.329981058947879	-0.0672904752147434	0.946350459380923	0.99347912010702	5893
39.6647983327071	-1.22638152829023	0.753881967290263	-1.6267553562772	0.103789066724691	0.643080448434197	84176
103.391595022741	0.232151725033217	0.465720273515614	0.4984788900873	0.618146544558942	0.950879544250006	572
1338.88642424066	0.170759903793297	0.424903634361463	0.401879132076409	0.687772981161263	0.962890983149167	51056
4625.15762790982	-0.499144465879364	0.414516964430121	-1.20415931966883	0.22852800591775	0.799932671812634	4267
50.1658683108629	0.8662572050515	0.440920126875145	1.96465788756519	0.0494538471528821	0.490382686053788	9957
7.14456674832677	-0.837500368442006	1.13355516242629	-0.73882630171204	0.460012478496441	0.911527989324345	26
16.132023933705	1.2213765894873	0.834333640768537	1.46389469368902	0.143222723465587	0.71029309215813	51384
123.318504419122	-1.9176413438941	0.644961975803966	-2.97326263537273	0.00294652208945736	0.127493824317521	23072
14.7659066825188	-0.885458293581621	0.62370265300336	-1.41968017823527	0.155700811351223	0.728309446904299	8379
1039.36852426707	-0.0619996749070449	0.394853134228736	-0.157019584074338	0.875229413693514	0.984032079537428	3927
208.115122378737	0.0621611948995937	0.34370930466464	0.180853977637425	0.856482193587506	0.982447067040849	29916
89.3439536846042	-0.616788306967283	0.490468549160915	-1.25754914973136	0.20855485331062	0.783281045135733	55365
1197.39016532359	-0.31633321494174	0.337441127592035	-0.937447125070615	0.348528609964275	0.871321524910689	4074
230.219389321646	1.99728915780688	0.706052995549943	2.82880912678686	0.00467215550769915	0.164712147200059	90293
268.772152774787	-1.19341040191103	0.689195355316139	-1.73159960046975	0.0833448774100718	0.59595139189686	56603
180.873083630515	-2.21318202469206	0.870244647863415	-2.54317223337801	0	0	3382
20.9797453349126	0.223681870052829	0.69913168488267	0.319942401252159	0.749011994323131	0.969128895172904	79007
1800.68015260266	0.478967574665911	0.335798092417189	1.4263558533586	0.153765649909927	0.72545144471054	57679
861.717576981385	0.93929328538311	0.45444078666781	2.06692117639898	0.0387415819680929	0.441217802146002	843
2440.89008928932	0.412100797915942	0.336437903684251	1.22489408417757	0.220615129657672	0.795697261644209	8837
97.7393745391382	-0.770400054331913	0.619700660430408	-1.24318094771246	0.213801161818521	0.790587861599126	7035
671.29988155605	-0.247042066289083	0.318596123757168	-0.775408261016313	0.438098455203273	0.904384409419528	55471
1731.62206950534	0.0843310836693983	0.395237059825904	0.213368361019953	0.831039656528946	0.980118479483512	10181
56.5962622702442	-0.424757626760185	0.40744817441491	-1.04248258657713	0.297187994681393	0.846716701144572	9108
304.914074159002	-1.54932969547621	1.05814271427737	-1.46419729075419	0.14314005027104	0.71029309215813	6542
483.050300210247	-0.168123273801533	0.447054143005406	-0.376069155005013	0.70686548471447	0.964294908150043	381
65.4905115748688	-1.09622595410001	0.518849936430428	-2.11279963074063	0.034617921305001	0.416980271044372	23098
